geometry,spin,inclination_deg,arm,snr0,a0_999_lower_limit_M,J_old,J_old_best_mode,J_old_log_volume,deltaG_rank,deltaG_trace,deltaG_stable_rank,deltaG_min_positive_eigenvalue,deltaG_max_eigenvalue,deltaG_min_eigenvalue,deltaG_numerical_tolerance
a000_i020,0.0,20,RESOLVED_PHYSICAL,3.0,18.47709816245863,0.2458751162298476,2.4323459863975962,8.69444544228585,,,,,,,
a000_i020,0.0,20,RESOLVED_PHYSICAL,10.0,18.47709816245863,2.3635305456199585,15.431158330725866,70.49970574420644,,,,,,,
a000_i020,0.0,20,RESOLVED_PHYSICAL,30.0,18.47709816245863,14.10653562153888,56.17390310271171,345.3240507375607,,,,,,,
a000_i020,0.0,20,RESOLVED_PHYSICAL,100.0,18.47709816245863,67.85788581646776,149.80701767501535,1237.5813390116891,,,,,,,
a000_i020,0.0,20,RESOLVED_PHYSICAL,300.0,18.47709816245863,172.2219069786095,274.75972717195384,2851.474296317192,,,,,,,
a000_i020,0.0,20,RESOLVED_PHYSICAL,1000.0,18.47709816245863,324.6215167124452,441.1846906425454,5570.114586457292,,,,,,,
a000_i020,0.0,20,RESOLVED_PHYSICAL,3000.0,18.47709816245863,486.3877024764243,611.682360157386,8815.300948271233,,,,,,,
a000_i020,0.0,20,RESOLVED_PHYSICAL,10000.0,18.47709816245863,678.1309293016843,808.9617186292304,12933.820809447156,,,,,,,
a000_i020,0.0,20,RESOLVED_PHYSICAL,30000.0,18.47709816245863,859.8268010606175,993.1354981784773,17020.500412243437,,,,,,,
a000_i020,0.0,20,RESOLVED_PHYSICAL,100000.0,18.47709816245863,1062.7398372414825,1199.6235434004288,21764.383589726604,,,,,,,
a000_i020,0.0,20,RESOLVED_PHYSICAL,1000000.0,18.47709816245863,1462.6574206862128,1602.2001596985472,31412.46705992261,,,,,,,
a000_i020,0.0,20,RESOLVED_PHYSICAL,100.0,18.47709816245863,67.85788581646776,149.80701767501535,1237.5813390116891,,,,,,,
a000_i020,0.0,20,UNRESOLVED_IMAGE,1.0,18.47709816245863,0.016932738721325627,0.2104718201881314,0.4653692338412559,,,,,,,
a000_i020,0.0,20,UNRESOLVED_IMAGE,3.0,18.47709816245863,0.14787688710842226,1.473257021967152,3.461408342375442,,,,,,,
a000_i020,0.0,20,UNRESOLVED_IMAGE,10.0,18.47709816245863,1.309644230916391,6.8702887251663185,19.729937307850985,,,,,,,
a000_i020,0.0,20,UNRESOLVED_IMAGE,30.0,18.47709816245863,5.7760887175022475,16.94631102106635,64.85480194058896,,,,,,,
a000_i020,0.0,20,UNRESOLVED_IMAGE,100.0,18.47709816245863,16.48052396125176,41.74254127545974,214.33525620678483,,,,,,,
a000_i020,0.0,20,UNRESOLVED_IMAGE,300.0,18.47709816245863,39.65059042125946,95.05966565488603,624.3572071543795,,,,,,,
a000_i020,0.0,20,UNRESOLVED_IMAGE,1000.0,18.47709816245863,108.74148521413093,199.6828531133119,1669.3215979340894,,,,,,,
a000_i020,0.0,20,UNRESOLVED_IMAGE,3000.0,18.47709816245863,219.07798175660793,327.12340829502625,3310.700500036807,,,,,,,
a000_i020,0.0,20,UNRESOLVED_IMAGE,10000.0,18.47709816245863,366.3587823605411,485.037190539986,5834.095177007253,,,,,,,
a000_i020,0.0,20,UNRESOLVED_IMAGE,30000.0,18.47709816245863,513.5017067888031,639.2683643061432,8746.59850669228,,,,,,,
a000_i020,0.0,20,UNRESOLVED_IMAGE,100000.0,18.47709816245863,688.7476949159408,823.0481860506113,12509.264194672685,,,,,,,
